job_title,Company,Company_Location,Post On,Job_link
Principal Oracle Developer - Evening Shift,10Pearls,"Karāchi, Sindh, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/principal-oracle-developer-evening-shift-at-10pearls-3520119369?refId=93nO0%2BQI87Oq659t9E%2BaZw%3D%3D&trackingId=Y5W5WtjCj%2FzVt65M1F7X3g%3D%3D&position=16&pageNum=7&trk=public_jobs_jserp-result_search-card
Game Developer,AlgoCoder,"Lahore District, Punjab, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/game-developer-at-algocoder-3524622081?refId=93nO0%2BQI87Oq659t9E%2BaZw%3D%3D&trackingId=eDTSIKV43PiSndL38aR64A%3D%3D&position=17&pageNum=7&trk=public_jobs_jserp-result_search-card
Open Cart Developer,MARINE'S IT,"Lahore District, Punjab, Pakistan",1 day ago,https://pk.linkedin.com/jobs/view/open-cart-developer-at-marine-s-it-3529119698?refId=93nO0%2BQI87Oq659t9E%2BaZw%3D%3D&trackingId=cyNfvy4oiYjSbmeweaAAtw%3D%3D&position=18&pageNum=7&trk=public_jobs_jserp-result_search-card
Binary bot developer,Ameer Traders,Pakistan,1 week ago,https://pk.linkedin.com/jobs/view/binary-bot-developer-at-ameer-traders-3513577073?refId=93nO0%2BQI87Oq659t9E%2BaZw%3D%3D&trackingId=VX6c%2FJFeg4VB3NCt5P8nIw%3D%3D&position=19&pageNum=7&trk=public_jobs_jserp-result_search-card
Oracle Apex Developer,Sharp DMS Pakistan,"Islamabad, Islāmābād, Pakistan",5 days ago,https://pk.linkedin.com/jobs/view/oracle-apex-developer-at-sharp-dms-pakistan-3526790820?refId=93nO0%2BQI87Oq659t9E%2BaZw%3D%3D&trackingId=Hk%2Bwo7rmgVcQ6NYeAS430Q%3D%3D&position=20&pageNum=7&trk=public_jobs_jserp-result_search-card
"Solutions Integrator, Totogi (Remote) - $100,000/year USD",Crossover,"Rakhni, Baluchistan, Pakistan",10 hours ago,https://pk.linkedin.com/jobs/view/solutions-integrator-totogi-remote-%24100-000-year-usd-at-crossover-3533784552?refId=93nO0%2BQI87Oq659t9E%2BaZw%3D%3D&trackingId=7KfULPO%2FUExPJQPG0VktHA%3D%3D&position=21&pageNum=7&trk=public_jobs_jserp-result_search-card
Caspio Developer,Punjab Group,"Lahore, Punjab, Pakistan",6 hours ago,https://pk.linkedin.com/jobs/view/caspio-developer-at-punjab-group-3534218334?refId=93nO0%2BQI87Oq659t9E%2BaZw%3D%3D&trackingId=h3ac9hhMpX6RuC2Q2WWVIg%3D%3D&position=22&pageNum=7&trk=public_jobs_jserp-result_search-card
Científico de Datos,Turing,Pakistan,1 month ago,https://pk.linkedin.com/jobs/view/cient%C3%ADfico-de-datos-at-turing-3527016370?refId=93nO0%2BQI87Oq659t9E%2BaZw%3D%3D&trackingId=tZaJLtACZ%2F7Lflv3aJY1pQ%3D%3D&position=23&pageNum=7&trk=public_jobs_jserp-result_search-card
Científico de Datos,Turing,Pakistan,1 month ago,https://pk.linkedin.com/jobs/view/cient%C3%ADfico-de-datos-at-turing-3527017054?refId=93nO0%2BQI87Oq659t9E%2BaZw%3D%3D&trackingId=2tCexeJKAxroAf%2FJbkzsQQ%3D%3D&position=24&pageNum=7&trk=public_jobs_jserp-result_search-card
Científico de Datos,Turing,Pakistan,1 month ago,https://pk.linkedin.com/jobs/view/cient%C3%ADfico-de-datos-at-turing-3527016362?refId=93nO0%2BQI87Oq659t9E%2BaZw%3D%3D&trackingId=X4s3Pb3RjPopH7FNpFBX2Q%3D%3D&position=25&pageNum=7&trk=public_jobs_jserp-result_search-card
"Associate Director, Data Engineer",Afiniti,"Islamabad, Islāmābād, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/associate-director-data-engineer-at-afiniti-3303515375?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=nnvJxypPhDj9W6%2Bp8K%2Fq%2Bg%3D%3D&position=1&pageNum=8&trk=public_jobs_jserp-result_search-card
Wordpress Developer,NetelSoft,"Lahore District, Punjab, Pakistan",6 days ago,https://pk.linkedin.com/jobs/view/wordpress-developer-at-netelsoft-3529832130?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=em0FX5ZaZybeFOnsnwehiA%3D%3D&position=2&pageNum=8&trk=public_jobs_jserp-result_search-card
Associate Game Developer,Mindstorm Studios,"Lahore, Punjab, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/associate-game-developer-at-mindstorm-studios-3522670290?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=rV5lFtkvWYNyEZIyLE4eYg%3D%3D&position=3&pageNum=8&trk=public_jobs_jserp-result_search-card
Mern Developer,Vorksol,"Rawalpindi, Punjab, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/mern-developer-at-vorksol-3524618238?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=N8sI%2BrgnG375FQb7GZ1Qsg%3D%3D&position=4&pageNum=8&trk=public_jobs_jserp-result_search-card
Embedded System Engineer,Dysol Pvt ltd,"Lahore District, Punjab, Pakistan",5 days ago,https://pk.linkedin.com/jobs/view/embedded-system-engineer-at-dysol-pvt-ltd-3528170261?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=%2BD6sDpXnJuXVbkSqm28vtw%3D%3D&position=5&pageNum=8&trk=public_jobs_jserp-result_search-card
Shopify Developer,Acrux Solutions Ltd,Pakistan,1 month ago,https://pk.linkedin.com/jobs/view/shopify-developer-at-acrux-solutions-ltd-3518671917?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=NT5R1VeE8JIyc5ks0jIKvg%3D%3D&position=6&pageNum=8&trk=public_jobs_jserp-result_search-card
Científico de Datos,Turing,Pakistan,1 month ago,https://pk.linkedin.com/jobs/view/cient%C3%ADfico-de-datos-at-turing-3527017256?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=K%2F%2FDWfpepvmugUcuQ2A7Ig%3D%3D&position=7&pageNum=8&trk=public_jobs_jserp-result_search-card
Senior Data/Analytics Engineer,Turing,Pakistan,1 month ago,https://pk.linkedin.com/jobs/view/senior-data-analytics-engineer-at-turing-3518652656?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=Wvbf%2BJZ4krmgOHtDUaKjEw%3D%3D&position=8&pageNum=8&trk=public_jobs_jserp-result_search-card
Wordpress Developer,Black Buck Designs,"Karāchi, Sindh, Pakistan",4 days ago,https://pk.linkedin.com/jobs/view/wordpress-developer-at-black-buck-designs-3529761392?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=1KuJ2vu2NdaydaLokn36Mw%3D%3D&position=9&pageNum=8&trk=public_jobs_jserp-result_search-card
"JUNIOR DATA SCIENTIST - Dubai, UAE",Cobblestone Energy,"Karachi Division, Sindh, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/junior-data-scientist-dubai-uae-at-cobblestone-energy-3500457917?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=yf%2B5yjKlwKW03lxozKJjPQ%3D%3D&position=10&pageNum=8&trk=public_jobs_jserp-result_search-card
Cold Fusion Developer (Remote),Intelliscence,"Lahore, Punjab, Pakistan",1 day ago,https://pk.linkedin.com/jobs/view/cold-fusion-developer-remote-at-intelliscence-3532009806?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=yAZLSt6uCLmCr2GDKxe9Bg%3D%3D&position=11&pageNum=8&trk=public_jobs_jserp-result_search-card
Senior Database Developer (MS SQL),Contour Software,"Lahore, Punjab, Pakistan",1 month ago,https://pk.linkedin.com/jobs/view/senior-database-developer-ms-sql-at-contour-software-3524298780?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=58c2lRjtfKBBdt0s%2BxMeSg%3D%3D&position=12&pageNum=8&trk=public_jobs_jserp-result_search-card
"Integration Engineer, Totogi (Remote) - $60,000/year USD",Crossover,"Rawalpindi, Punjab, Pakistan",10 hours ago,https://pk.linkedin.com/jobs/view/integration-engineer-totogi-remote-%2460-000-year-usd-at-crossover-3533784847?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=rT1XLU4KP%2FDU%2F9hsQzUDqg%3D%3D&position=13&pageNum=8&trk=public_jobs_jserp-result_search-card
Oracle Developer,International Linens Pakistan,"Faisalabad, Punjab, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/oracle-developer-at-international-linens-pakistan-3514791155?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=RXSquijJHgrvEXZlv26XrA%3D%3D&position=14&pageNum=8&trk=public_jobs_jserp-result_search-card
Junior Site Reliability Engineer,Trellis Housing Finance Limited,"Karāchi, Sindh, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/junior-site-reliability-engineer-at-trellis-housing-finance-limited-3512841822?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=L8JFhEH4ugMuXTb%2BxTdhNA%3D%3D&position=15&pageNum=8&trk=public_jobs_jserp-result_search-card
NetSuite Developer,Magna Foodservice,Pakistan,1 week ago,https://pk.linkedin.com/jobs/view/netsuite-developer-at-magna-foodservice-3519891880?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=LT7ShefGyjxQAajfX9%2FTuw%3D%3D&position=16&pageNum=8&trk=public_jobs_jserp-result_search-card
Sharepoint Developer,TechnuPur,"Faisalabad, Punjab, Pakistan",4 days ago,https://pk.linkedin.com/jobs/view/sharepoint-developer-at-technupur-3528573429?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=VqFUtNz5mmXK%2BX2n0yverQ%3D%3D&position=17&pageNum=8&trk=public_jobs_jserp-result_search-card
Senior Data Engineer,Addo,"Lahore, Punjab, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/senior-data-engineer-at-addo-3524185318?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=ThJSOH0teGHE7MPo%2B%2B%2FQPA%3D%3D&position=18&pageNum=8&trk=public_jobs_jserp-result_search-card
Oracle Developer,Universal Gas Distribution Company,"Lahore, Punjab, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/oracle-developer-at-universal-gas-distribution-company-2482291259?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=tBPsvZZ9%2FoyI2b6bTeNqXQ%3D%3D&position=19&pageNum=8&trk=public_jobs_jserp-result_search-card
Odoo Technical Developer,Viltco Technologies,"Lahore, Punjab, Pakistan",5 days ago,https://pk.linkedin.com/jobs/view/odoo-technical-developer-at-viltco-technologies-3528146147?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=bIEvRyKu8a3RxynwdZA5Ew%3D%3D&position=20&pageNum=8&trk=public_jobs_jserp-result_search-card
System Integration & Validation Engineer,Siemens EDA (Siemens Digital Industries Software),"Lahore, Punjab, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/system-integration-validation-engineer-at-siemens-eda-siemens-digital-industries-software-3477586794?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=TQE8AN99ubypKFicUrpvCg%3D%3D&position=21&pageNum=8&trk=public_jobs_jserp-result_search-card
Devops Intern,Enterprise64,"Karachi Division, Sindh, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/devops-intern-at-enterprise64-3505853360?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=d7cERsEzBm8gBSQ%2FRBtqZA%3D%3D&position=22&pageNum=8&trk=public_jobs_jserp-result_search-card
Salesforce Developer,TekRevol,"Karāchi, Sindh, Pakistan",1 month ago,https://pk.linkedin.com/jobs/view/salesforce-developer-at-tekrevol-3490759665?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=gak0oBJpBenAwuZRcKPgyA%3D%3D&position=23&pageNum=8&trk=public_jobs_jserp-result_search-card
Infrastructure Engineer,S&P Global,"Islamabad, Islāmābād, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/infrastructure-engineer-at-s-p-global-3485213718?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=T65yKyB2s0SIxDYe%2B%2BnlQg%3D%3D&position=24&pageNum=8&trk=public_jobs_jserp-result_search-card
Unity Developer,Skill Knight Studios,"Lahore, Punjab, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/unity-developer-at-skill-knight-studios-3524616033?refId=fSmWU7zg34FtaoT1Fi%2BLyA%3D%3D&trackingId=yPv%2BL1VAwEnNU7IoBHE3Rg%3D%3D&position=25&pageNum=8&trk=public_jobs_jserp-result_search-card
Symantec DLP Engineer,CIEL HR,"Lahore, Punjab, Pakistan",1 month ago,https://pk.linkedin.com/jobs/view/symantec-dlp-engineer-at-ciel-hr-3515903824?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=jCg1Pyng%2F9Psg6fBUcLShw%3D%3D&position=1&pageNum=9&trk=public_jobs_jserp-result_search-card
Adobe After Effects,VerticalSols Pvt. Ltd,"Multan, Punjab, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/adobe-after-effects-at-verticalsols-pvt-ltd-3512816726?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=PiqXqav80Fi67LToDgFVLw%3D%3D&position=2&pageNum=9&trk=public_jobs_jserp-result_search-card
ODoo Developer,IdeatoLife,"Lahore, Punjab, Pakistan",4 weeks ago,https://pk.linkedin.com/jobs/view/odoo-developer-at-ideatolife-3490877355?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=V0SpEaTLDXM1FNsaHZJF9g%3D%3D&position=3&pageNum=9&trk=public_jobs_jserp-result_search-card
game developer,Pagie Portal,"Murīdke, Punjab, Pakistan",4 days ago,https://pk.linkedin.com/jobs/view/game-developer-at-pagie-portal-3528180284?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=axk1NkLq3w3eRcYqYIaxPw%3D%3D&position=4&pageNum=9&trk=public_jobs_jserp-result_search-card
"Associate Director, Data Engineer",Afiniti,"Karachi Division, Sindh, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/associate-director-data-engineer-at-afiniti-3303514806?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=4ga7ks%2FNxpsKBGH4DuQnrg%3D%3D&position=5&pageNum=9&trk=public_jobs_jserp-result_search-card
Shopify Developer,Studio24x7,"Lahore, Punjab, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/shopify-developer-at-studio24x7-3521928741?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=yPeLIpm%2FM8P1Br2oQ6WgCA%3D%3D&position=6&pageNum=9&trk=public_jobs_jserp-result_search-card
Shopify Developer:,Digitlogix Inc,"Lahore, Punjab, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/shopify-developer-at-digitlogix-inc-3494415958?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=6nvUQr6Yh3yHjWVXusDj%2BQ%3D%3D&position=7&pageNum=9&trk=public_jobs_jserp-result_search-card
Senior Azure Data Engineer,BAT,"Lahore, Punjab, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/senior-azure-data-engineer-at-bat-3509611894?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=h6GW4YMWeSR1suVMhMYgsQ%3D%3D&position=8&pageNum=9&trk=public_jobs_jserp-result_search-card
Oracle Cloud Developer,Ora-Tech Systems Pvt. Ltd,Pakistan,2 hours ago,https://pk.linkedin.com/jobs/view/oracle-cloud-developer-at-ora-tech-systems-pvt-ltd-3534251976?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=p6Stg0%2F1U3T3WOiqHWZnMg%3D%3D&position=9&pageNum=9&trk=public_jobs_jserp-result_search-card
"JUNIOR DATA SCIENTIST - Dubai, UAE",Cobblestone Energy,"Lahore, Punjab, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/junior-data-scientist-dubai-uae-at-cobblestone-energy-3500459738?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=M%2FpbaR3zbvSdznnzMeZBKw%3D%3D&position=10&pageNum=9&trk=public_jobs_jserp-result_search-card
Senior Data Engineer,TenX,"Karāchi, Sindh, Pakistan",1 day ago,https://pk.linkedin.com/jobs/view/senior-data-engineer-at-tenx-3533231535?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=9myWkEKGOisxvUUlD%2BXRiw%3D%3D&position=11&pageNum=9&trk=public_jobs_jserp-result_search-card
Cloud Engineer II,S&P Global,"Islamabad, Islāmābād, Pakistan",2 hours ago,https://pk.linkedin.com/jobs/view/cloud-engineer-ii-at-s-p-global-3440699037?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=hKsfwr9trzWezxHYYTo8jg%3D%3D&position=12&pageNum=9&trk=public_jobs_jserp-result_search-card
Digital KYC Analyst,Programmers Force,"Lahore, Punjab, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/digital-kyc-analyst-at-programmers-force-3515470773?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=uAjlOsSNdqFTEbbTdDHlWw%3D%3D&position=13&pageNum=9&trk=public_jobs_jserp-result_search-card
Junior Wordpress Developer,NSKHost (Pvt) LTD,"Bahawalpur, Punjab, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/junior-wordpress-developer-at-nskhost-pvt-ltd-3504124113?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=QpwdarHEp%2BKk3B99Mmf3hg%3D%3D&position=14&pageNum=9&trk=public_jobs_jserp-result_search-card
Routing and Quality Analyst,CEQUENS,"Islamabad, Islāmābād, Pakistan",1 month ago,https://pk.linkedin.com/jobs/view/routing-and-quality-analyst-at-cequens-3491857197?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=7TFUS4EBCXiEDyyyhvnO6w%3D%3D&position=15&pageNum=9&trk=public_jobs_jserp-result_search-card
"JUNIOR DATA SCIENTIST - Dubai, UAE",Cobblestone Energy,"Faisalabad, Punjab, Pakistan",3 weeks ago,https://pk.linkedin.com/jobs/view/junior-data-scientist-dubai-uae-at-cobblestone-energy-3500460625?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=zm5X3rRAIiDiNwhfBDk0kg%3D%3D&position=16&pageNum=9&trk=public_jobs_jserp-result_search-card
Technology Consulting- Data Scientist - EY Rapid Innovation,EY,"Karachi Division, Sindh, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/technology-consulting-data-scientist-ey-rapid-innovation-at-ey-3507420906?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=KpPBu6LN%2B3ScK80pKRqoFA%3D%3D&position=17&pageNum=9&trk=public_jobs_jserp-result_search-card
Shopify Developer,BaadMay,"Karāchi, Sindh, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/shopify-developer-at-baadmay-3514625445?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=cRMicTV9U8lJHON3nBEkjQ%3D%3D&position=18&pageNum=9&trk=public_jobs_jserp-result_search-card
Unity Developer,AXONDEV LLC,"Lahore, Punjab, Pakistan",5 days ago,https://pk.linkedin.com/jobs/view/unity-developer-at-axondev-llc-3531583236?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=Czrb6tWjuygvQdrDMSMlBg%3D%3D&position=19&pageNum=9&trk=public_jobs_jserp-result_search-card
Shopify Developer,Tetralogicx (Pvt) Ltd.,"Lahore, Punjab, Pakistan",2 days ago,https://pk.linkedin.com/jobs/view/shopify-developer-at-tetralogicx-pvt-ltd-3531630620?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=VWVNVnI3ZRlEOWT%2F74JhHg%3D%3D&position=20&pageNum=9&trk=public_jobs_jserp-result_search-card
DevOps/Cloud Python Engineer - Remote - US company - up to 60Lakh,Yummy Future Inc.,Pakistan,6 days ago,https://pk.linkedin.com/jobs/view/devops-cloud-python-engineer-remote-us-company-up-to-60lakh-at-yummy-future-inc-3521456727?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=j%2BKmDCLzwugeuW4l2whspA%3D%3D&position=21&pageNum=9&trk=public_jobs_jserp-result_search-card
Senior Wordpress Developer,SiteNative,"Faisalabad, Punjab, Pakistan",5 days ago,https://pk.linkedin.com/jobs/view/senior-wordpress-developer-at-sitenative-3528134146?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=6xqDoKsHFWTFrnajLbe7UQ%3D%3D&position=22&pageNum=9&trk=public_jobs_jserp-result_search-card
Científico de Datos,Turing,Pakistan,1 month ago,https://pk.linkedin.com/jobs/view/cient%C3%ADfico-de-datos-at-turing-3523701071?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=8W3vbEUy0YuK%2BdXdTmzgVg%3D%3D&position=23&pageNum=9&trk=public_jobs_jserp-result_search-card
Claris FileMaker Developer,XnRel,"Lahore, Punjab, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/claris-filemaker-developer-at-xnrel-3512820527?refId=PlzkEytD%2BkGeYK9cAZYcxg%3D%3D&trackingId=ajYak%2Fh3q8%2FSeQYGroEXFA%3D%3D&position=24&pageNum=9&trk=public_jobs_jserp-result_search-card
Associate SQA Engineer,Gaditek,"Karāchi, Sindh, Pakistan",1 month ago,https://pk.linkedin.com/jobs/view/associate-sqa-engineer-at-gaditek-3526580533?refId=Ez3zGUE6i9xRMOU9hQ2v3Q%3D%3D&trackingId=%2F0IanU%2FK7WckmLSWBGAsyw%3D%3D&position=1&pageNum=10&trk=public_jobs_jserp-result_search-card
Shopify App Developer,DigiZS,Pakistan,5 days ago,https://pk.linkedin.com/jobs/view/shopify-app-developer-at-digizs-3526755576?refId=Ez3zGUE6i9xRMOU9hQ2v3Q%3D%3D&trackingId=xBUcfG0xnaJItcp1xCat1g%3D%3D&position=2&pageNum=10&trk=public_jobs_jserp-result_search-card
"Lead BigData Engineers (PySpark, Hadoop, ETL)",NorthBay - Pakistan,Pakistan,1 week ago,https://pk.linkedin.com/jobs/view/lead-bigdata-engineers-pyspark-hadoop-etl-at-northbay-pakistan-3518331280?refId=Ez3zGUE6i9xRMOU9hQ2v3Q%3D%3D&trackingId=XMGyj4f%2Bweh8w3oqpam1Bw%3D%3D&position=3&pageNum=10&trk=public_jobs_jserp-result_search-card
Associate Software Engineer,Manafa Technologies,"Lahore, Punjab, Pakistan",1 month ago,https://pk.linkedin.com/jobs/view/associate-software-engineer-at-manafa-technologies-3516873331?refId=Ez3zGUE6i9xRMOU9hQ2v3Q%3D%3D&trackingId=V8%2FfZMvaTlEY90Eme8dCOg%3D%3D&position=4&pageNum=10&trk=public_jobs_jserp-result_search-card
"Associate Director, Data Engineer",Afiniti,"Peshawar, Khyber Pakhtunkhwa, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/associate-director-data-engineer-at-afiniti-3303511997?refId=Ez3zGUE6i9xRMOU9hQ2v3Q%3D%3D&trackingId=GnmcC6zPlpMHDk3gCercQg%3D%3D&position=5&pageNum=10&trk=public_jobs_jserp-result_search-card
Shopify Developer,Hybrid Mediaworks,"Islamabad, Punjab, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/shopify-developer-at-hybrid-mediaworks-3511108989?refId=Ez3zGUE6i9xRMOU9hQ2v3Q%3D%3D&trackingId=m2v%2BuVOkgxy4E4RRYWgB6g%3D%3D&position=6&pageNum=10&trk=public_jobs_jserp-result_search-card
App development Internship,Groflers Technologies,"Jhelum, Punjab, Pakistan",3 days ago,https://pk.linkedin.com/jobs/view/app-development-internship-at-groflers-technologies-3530193052?refId=Ez3zGUE6i9xRMOU9hQ2v3Q%3D%3D&trackingId=vioe003aOFAqDkqFCGf%2BDw%3D%3D&position=7&pageNum=10&trk=public_jobs_jserp-result_search-card
Shopify Developer,We Hire Top - Hire Offshore Developers / Best Recruitment Company,"Lahore, Punjab, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/shopify-developer-at-we-hire-top-hire-offshore-developers-best-recruitment-company-3511423471?refId=Ez3zGUE6i9xRMOU9hQ2v3Q%3D%3D&trackingId=XLEqThRknZiRjtGbes1rjw%3D%3D&position=8&pageNum=10&trk=public_jobs_jserp-result_search-card
"Integration Engineer, Totogi (Remote) - $60,000/year USD",Crossover,"Islamabad, Islāmābād, Pakistan",10 hours ago,https://pk.linkedin.com/jobs/view/integration-engineer-totogi-remote-%2460-000-year-usd-at-crossover-3533789137?refId=Ez3zGUE6i9xRMOU9hQ2v3Q%3D%3D&trackingId=aCqRPa%2BJUnbPxtilOjxEtA%3D%3D&position=9&pageNum=10&trk=public_jobs_jserp-result_search-card
Game Developer,Black Dragon,"Islāmābād, Pakistan",6 days ago,https://pk.linkedin.com/jobs/view/game-developer-at-black-dragon-3530558435?refId=Ez3zGUE6i9xRMOU9hQ2v3Q%3D%3D&trackingId=9p8tyWd0b8jVF6S91x3lgQ%3D%3D&position=10&pageNum=10&trk=public_jobs_jserp-result_search-card
Developer,Wayout Lab,"Lahore, Punjab, Pakistan",2 hours ago,https://pk.linkedin.com/jobs/view/developer-at-wayout-lab-3534261210?refId=Ez3zGUE6i9xRMOU9hQ2v3Q%3D%3D&trackingId=wOBrJIqvl285KUTq8Hq2wA%3D%3D&position=11&pageNum=10&trk=public_jobs_jserp-result_search-card
Ingeniero de Datos,Turing,Pakistan,1 month ago,https://pk.linkedin.com/jobs/view/ingeniero-de-datos-at-turing-3527018206?refId=Ez3zGUE6i9xRMOU9hQ2v3Q%3D%3D&trackingId=SHKWYVjBWgq1sNYqjkmmIw%3D%3D&position=12&pageNum=10&trk=public_jobs_jserp-result_search-card
DevOps Engineer,CarbonTeq,"Lahore, Punjab, Pakistan",1 month ago,https://pk.linkedin.com/jobs/view/devops-engineer-at-carbonteq-3529393632?refId=Ez3zGUE6i9xRMOU9hQ2v3Q%3D%3D&trackingId=ZlXBxcVdliTxhCFhmLhMjA%3D%3D&position=13&pageNum=10&trk=public_jobs_jserp-result_search-card
Azure DevOps Engineer,BAT,"Lahore, Punjab, Pakistan",2 weeks ago,https://pk.linkedin.com/jobs/view/azure-devops-engineer-at-bat-3509613736?refId=Ez3zGUE6i9xRMOU9hQ2v3Q%3D%3D&trackingId=uy5k6rIF6cwiobFO7wmX%2Fw%3D%3D&position=14&pageNum=10&trk=public_jobs_jserp-result_search-card
Unity Developer,Smart Soft Studios,"Lahore, Punjab, Pakistan",5 days ago,https://pk.linkedin.com/jobs/view/unity-developer-at-smart-soft-studios-3528165143?refId=Ez3zGUE6i9xRMOU9hQ2v3Q%3D%3D&trackingId=TA64J8AMsA6q611c3HKTqQ%3D%3D&position=15&pageNum=10&trk=public_jobs_jserp-result_search-card
Oracle Apex Developer,Future Fashion Textile,"Lahore District, Punjab, Pakistan",1 week ago,https://pk.linkedin.com/jobs/view/oracle-apex-developer-at-future-fashion-textile-3518945560?refId=Ez3zGUE6i9xRMOU9hQ2v3Q%3D%3D&trackingId=GT0ItwRDzyqej7xl%2Fc1ShQ%3D%3D&position=16&pageNum=10&trk=public_jobs_jserp-result_search-card
